label,review
1,색이 예뻐요~
1,"완전 편하고 조아요..


임신 중이라 바닥에 앉아 있는것도 힘들고 해서 일단 함 


주문해 보았어요...


아이보리 주문했는데 색상도 맘에 들고..쿠션도 이만함 괜찮고...


가장 좋은건 아직 두돌이 안된 우리 아이가 너무 좋아한답니다..


무릎에만 앉으려 해서 산모인 제가 마니 힘들었는데


이거 들여 놓은 후부턴덜 한다는거죠...


나중에 수유 할때도 좋을거 같아요...














사업 번창 하세요^^"
1,오래 사용하는편인데 가격대비 좋습니다
1,역쉬 샘키즈라는 말이 나오네요~ 그전에 다른 장난감 수납장을 쓰다가 샘키즈로 바꾸고 넉넉한 수납공간과 심플한 디자인에 매우 만족하고 있습니다~ 추가 구매까지 생각하고 있습니다 ~ 기존 샘키즈 색상보다는 스칸디 색상은 은은하니 멋스럽네요 ^^ 역시 국민 장난감 수납장이네요 ^^
1,부모님꺼세 안자아 보시고 정말 편하다고 하시네요~~
1,좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...좋습니다...
1,행사가로 저렴히 구매 배송 상당히 느림 앞으로 재고 확보 후 행사했으면 좋겠네요
1,튼튼해요 허리도 편하구요 . 다만 목부분이 좀 높아서 머리 아랫쪽에 닿네요. 여자라서 그런가 ㅎ
1,빠른 배송... 좋은 제품.. 만족합니다.
1,배송도 빠르고 ...디자인 사진과 똑같이 이쁘고 ㅎㅎ여자가 조립하려니 손에 힘이 많이들어가서 힘들었지만... 조립빼고 만족만족!
1,너무 폭신하고 편안하네요~ 잘 쓸게요
1,좁은방에 좌식의자를 사용할까말까 고민하다 샀습니다. 편리하고 다양하게 사용가능하여 아주좋습니다.
1,생각보다 크지만 좋아요
1,짱이예요
1,조립하기도 쉽고 이 가격에 잘 산 것 같아요. 색깔은 그레이로 했는데 심풀하고 세련된 것 같습니다. 비싼 듀오백이에 비하면 오래 앉으면 불편한감도 있지만 이 가격에 잘 산 것 같아요.
1,완전괜찮네요 생각보다 더 좋은것같아요
1,가격도 무척 저렴하고 무게도 가벼워서 이동이 편해요 다리조립이 좀 시간이 걸렸지만 여러가지로 만족합니다^^
1,완전 강추합니다.주변 지인들이 쓰는거 보고 샀는데 정말 수납도 잘되고 이쁘고 대만족입니다..
1,가격은 좀 불만이지만 상품은 메이드인 차이나치고는 그런대로 앉을만하네요 일단 시간이 지나봐야 알겠지만 부디 기대는 부분이 고장이 나질 않길 바랄뿐이네요 색깔은 모카색인데 어떤분은 누렁이색이라고하는데 진짜 이상하지않고 집안 분위기만 잘 맞는다면 모카가 제일 질리지않고 괜찮은거 같아요~~
1,"식탁말고, 집자체에 구성되어있던 높은 간이식탁??? 에 잘 맞는 BAR형 의자네요~ 빠에 온것같은 ㅎㅎㅎ 빨간색 2개 주문했는데 분위기 산뜻하고 좋아요~ 뭔가~ 묘한~~ㅎ ㅎㅎㅎㅎㅎ 높낮이 조절하면서 잘쓰고 있습니다. ㅎㅎㅎ"
1,배송도 지정일에 맞춰 잘 받았습니다. 타사 제품이랑 고민하다가 저렴한 가격에 구입하게 되서 만족하구요 의자도 안정감이 있고 아직까지는 고장없이 잘 사용하고 있어요
1,조립도 쉬웠구 하자없이 잘 왔어요^.^
1,배송 기사님도 친절하고 
1,가격에 비해 괜찮은 것 같아요. 배송비는 3개 전부 받아서 좀 그랬어요.
1,"괜찮아요. 배송도 느리게 오지도 않았고 물건도 괜찮았구요. 사고나서 후회는 안들어요....,"
1,빠르고 저렴하네요~재구매 의사있어요
1,너무나 기다렸던 딜이였네요. 항상 눈팅만하고 가격이 사악해서 그냥 보고만 있었는데 할인에 sk 추가할인 그리고 캐쉬백 까지 너무나 싸게 구입했네요. 받자마자 지금 깨끗하게 씻어서 말리는 중 이네요. 드디어 저희 집도 정리된 방이 될 거라 생각하니 너무 뿌듯합니다.
1,짱짱짱좋ㅇ요
